# TwemojiMozilla.ttf v0.6.0 GSUB ligature sequences (2223)

#️⃣	U+0023 U+FE0F U+20E3
*️⃣	U+002A U+FE0F U+20E3
✋🏻	U+270B U+1F3FB
✋🏼	U+270B U+1F3FC
✋🏽	U+270B U+1F3FD
✋🏾	U+270B U+1F3FE
✋🏿	U+270B U+1F3FF
✌🏻	U+270C U+1F3FB
✌🏼	U+270C U+1F3FC
✌🏽	U+270C U+1F3FD
✌🏾	U+270C U+1F3FE
✌🏿	U+270C U+1F3FF
✍🏻	U+270D U+1F3FB
✍🏼	U+270D U+1F3FC
✍🏽	U+270D U+1F3FD
✍🏾	U+270D U+1F3FE
✍🏿	U+270D U+1F3FF
❤️‍🔥	U+2764 U+FE0F U+200D U+1F525
❤️‍🩹	U+2764 U+FE0F U+200D U+1FA79
🇦🇨	U+1F1E6 U+1F1E8
🇦🇩	U+1F1E6 U+1F1E9
🇦🇪	U+1F1E6 U+1F1EA
🇦🇫	U+1F1E6 U+1F1EB
🇦🇬	U+1F1E6 U+1F1EC
🇦🇮	U+1F1E6 U+1F1EE
🇦🇱	U+1F1E6 U+1F1F1
🇦🇲	U+1F1E6 U+1F1F2
🇦🇴	U+1F1E6 U+1F1F4
🇦🇶	U+1F1E6 U+1F1F6
🇦🇷	U+1F1E6 U+1F1F7
🇦🇸	U+1F1E6 U+1F1F8
🇦🇹	U+1F1E6 U+1F1F9
🇦🇺	U+1F1E6 U+1F1FA
🇦🇼	U+1F1E6 U+1F1FC
🇦🇽	U+1F1E6 U+1F1FD
🇦🇿	U+1F1E6 U+1F1FF
🇧🇦	U+1F1E7 U+1F1E6
🇧🇧	U+1F1E7 U+1F1E7
🇧🇩	U+1F1E7 U+1F1E9
🇧🇪	U+1F1E7 U+1F1EA
🇧🇫	U+1F1E7 U+1F1EB
🇧🇬	U+1F1E7 U+1F1EC
🇧🇭	U+1F1E7 U+1F1ED
🇧🇮	U+1F1E7 U+1F1EE
🇧🇯	U+1F1E7 U+1F1EF
🇧🇱	U+1F1E7 U+1F1F1
🇧🇲	U+1F1E7 U+1F1F2
🇧🇳	U+1F1E7 U+1F1F3
🇧🇴	U+1F1E7 U+1F1F4
🇧🇶	U+1F1E7 U+1F1F6
🇧🇷	U+1F1E7 U+1F1F7
🇧🇸	U+1F1E7 U+1F1F8
🇧🇹	U+1F1E7 U+1F1F9
🇧🇻	U+1F1E7 U+1F1FB
🇧🇼	U+1F1E7 U+1F1FC
🇧🇾	U+1F1E7 U+1F1FE
🇧🇿	U+1F1E7 U+1F1FF
🇨🇦	U+1F1E8 U+1F1E6
🇨🇨	U+1F1E8 U+1F1E8
🇨🇩	U+1F1E8 U+1F1E9
🇨🇫	U+1F1E8 U+1F1EB
🇨🇬	U+1F1E8 U+1F1EC
🇨🇭	U+1F1E8 U+1F1ED
🇨🇮	U+1F1E8 U+1F1EE
🇨🇰	U+1F1E8 U+1F1F0
🇨🇱	U+1F1E8 U+1F1F1
🇨🇲	U+1F1E8 U+1F1F2
🇨🇳	U+1F1E8 U+1F1F3
🇨🇴	U+1F1E8 U+1F1F4
🇨🇵	U+1F1E8 U+1F1F5
🇨🇷	U+1F1E8 U+1F1F7
🇨🇺	U+1F1E8 U+1F1FA
🇨🇻	U+1F1E8 U+1F1FB
🇨🇼	U+1F1E8 U+1F1FC
🇨🇽	U+1F1E8 U+1F1FD
🇨🇾	U+1F1E8 U+1F1FE
🇨🇿	U+1F1E8 U+1F1FF
🇩🇪	U+1F1E9 U+1F1EA
🇩🇬	U+1F1E9 U+1F1EC
🇩🇯	U+1F1E9 U+1F1EF
🇩🇰	U+1F1E9 U+1F1F0
🇩🇲	U+1F1E9 U+1F1F2
🇩🇴	U+1F1E9 U+1F1F4
🇩🇿	U+1F1E9 U+1F1FF
🇪🇦	U+1F1EA U+1F1E6
🇪🇨	U+1F1EA U+1F1E8
🇪🇪	U+1F1EA U+1F1EA
🇪🇬	U+1F1EA U+1F1EC
🇪🇭	U+1F1EA U+1F1ED
🇪🇷	U+1F1EA U+1F1F7
🇪🇸	U+1F1EA U+1F1F8
🇪🇹	U+1F1EA U+1F1F9
🇪🇺	U+1F1EA U+1F1FA
🇫🇮	U+1F1EB U+1F1EE
🇫🇯	U+1F1EB U+1F1EF
🇫🇰	U+1F1EB U+1F1F0
🇫🇲	U+1F1EB U+1F1F2
🇫🇴	U+1F1EB U+1F1F4
🇫🇷	U+1F1EB U+1F1F7
🇬🇦	U+1F1EC U+1F1E6
🇬🇧	U+1F1EC U+1F1E7
🇬🇩	U+1F1EC U+1F1E9
🇬🇪	U+1F1EC U+1F1EA
🇬🇫	U+1F1EC U+1F1EB
🇬🇬	U+1F1EC U+1F1EC
🇬🇭	U+1F1EC U+1F1ED
🇬🇮	U+1F1EC U+1F1EE
🇬🇱	U+1F1EC U+1F1F1
🇬🇲	U+1F1EC U+1F1F2
🇬🇳	U+1F1EC U+1F1F3
🇬🇵	U+1F1EC U+1F1F5
🇬🇶	U+1F1EC U+1F1F6
🇬🇷	U+1F1EC U+1F1F7
🇬🇸	U+1F1EC U+1F1F8
🇬🇹	U+1F1EC U+1F1F9
🇬🇺	U+1F1EC U+1F1FA
🇬🇼	U+1F1EC U+1F1FC
🇬🇾	U+1F1EC U+1F1FE
🇭🇰	U+1F1ED U+1F1F0
🇭🇲	U+1F1ED U+1F1F2
🇭🇳	U+1F1ED U+1F1F3
🇭🇷	U+1F1ED U+1F1F7
🇭🇹	U+1F1ED U+1F1F9
🇭🇺	U+1F1ED U+1F1FA
🇮🇨	U+1F1EE U+1F1E8
🇮🇩	U+1F1EE U+1F1E9
🇮🇪	U+1F1EE U+1F1EA
🇮🇱	U+1F1EE U+1F1F1
🇮🇲	U+1F1EE U+1F1F2
🇮🇳	U+1F1EE U+1F1F3
🇮🇴	U+1F1EE U+1F1F4
🇮🇶	U+1F1EE U+1F1F6
🇮🇷	U+1F1EE U+1F1F7
🇮🇸	U+1F1EE U+1F1F8
🇮🇹	U+1F1EE U+1F1F9
🇯🇪	U+1F1EF U+1F1EA
🇯🇲	U+1F1EF U+1F1F2
🇯🇴	U+1F1EF U+1F1F4
🇯🇵	U+1F1EF U+1F1F5
🇰🇪	U+1F1F0 U+1F1EA
🇰🇬	U+1F1F0 U+1F1EC
🇰🇭	U+1F1F0 U+1F1ED
🇰🇮	U+1F1F0 U+1F1EE
🇰🇲	U+1F1F0 U+1F1F2
🇰🇳	U+1F1F0 U+1F1F3
🇰🇵	U+1F1F0 U+1F1F5
🇰🇷	U+1F1F0 U+1F1F7
🇰🇼	U+1F1F0 U+1F1FC
🇰🇾	U+1F1F0 U+1F1FE
🇰🇿	U+1F1F0 U+1F1FF
🇱🇦	U+1F1F1 U+1F1E6
🇱🇧	U+1F1F1 U+1F1E7
🇱🇨	U+1F1F1 U+1F1E8
🇱🇮	U+1F1F1 U+1F1EE
🇱🇰	U+1F1F1 U+1F1F0
🇱🇷	U+1F1F1 U+1F1F7
🇱🇸	U+1F1F1 U+1F1F8
🇱🇹	U+1F1F1 U+1F1F9
🇱🇺	U+1F1F1 U+1F1FA
🇱🇻	U+1F1F1 U+1F1FB
🇱🇾	U+1F1F1 U+1F1FE
🇲🇦	U+1F1F2 U+1F1E6
🇲🇨	U+1F1F2 U+1F1E8
🇲🇩	U+1F1F2 U+1F1E9
🇲🇪	U+1F1F2 U+1F1EA
🇲🇫	U+1F1F2 U+1F1EB
🇲🇬	U+1F1F2 U+1F1EC
🇲🇭	U+1F1F2 U+1F1ED
🇲🇰	U+1F1F2 U+1F1F0
🇲🇱	U+1F1F2 U+1F1F1
🇲🇲	U+1F1F2 U+1F1F2
🇲🇳	U+1F1F2 U+1F1F3
🇲🇴	U+1F1F2 U+1F1F4
🇲🇵	U+1F1F2 U+1F1F5
🇲🇶	U+1F1F2 U+1F1F6
🇲🇷	U+1F1F2 U+1F1F7
🇲🇸	U+1F1F2 U+1F1F8
🇲🇹	U+1F1F2 U+1F1F9
🇲🇺	U+1F1F2 U+1F1FA
🇲🇻	U+1F1F2 U+1F1FB
🇲🇼	U+1F1F2 U+1F1FC
🇲🇽	U+1F1F2 U+1F1FD
🇲🇾	U+1F1F2 U+1F1FE
🇲🇿	U+1F1F2 U+1F1FF
🇳🇦	U+1F1F3 U+1F1E6
🇳🇨	U+1F1F3 U+1F1E8
🇳🇪	U+1F1F3 U+1F1EA
🇳🇫	U+1F1F3 U+1F1EB
🇳🇬	U+1F1F3 U+1F1EC
🇳🇮	U+1F1F3 U+1F1EE
🇳🇱	U+1F1F3 U+1F1F1
🇳🇴	U+1F1F3 U+1F1F4
🇳🇵	U+1F1F3 U+1F1F5
🇳🇷	U+1F1F3 U+1F1F7
🇳🇺	U+1F1F3 U+1F1FA
🇳🇿	U+1F1F3 U+1F1FF
🇴🇲	U+1F1F4 U+1F1F2
🇵🇦	U+1F1F5 U+1F1E6
🇵🇪	U+1F1F5 U+1F1EA
🇵🇫	U+1F1F5 U+1F1EB
🇵🇬	U+1F1F5 U+1F1EC
🇵🇭	U+1F1F5 U+1F1ED
🇵🇰	U+1F1F5 U+1F1F0
🇵🇱	U+1F1F5 U+1F1F1
🇵🇲	U+1F1F5 U+1F1F2
🇵🇳	U+1F1F5 U+1F1F3
🇵🇷	U+1F1F5 U+1F1F7
🇵🇸	U+1F1F5 U+1F1F8
🇵🇹	U+1F1F5 U+1F1F9
🇵🇼	U+1F1F5 U+1F1FC
🇵🇾	U+1F1F5 U+1F1FE
🇶🇦	U+1F1F6 U+1F1E6
🇷🇪	U+1F1F7 U+1F1EA
🇷🇴	U+1F1F7 U+1F1F4
🇷🇸	U+1F1F7 U+1F1F8
🇷🇺	U+1F1F7 U+1F1FA
🇷🇼	U+1F1F7 U+1F1FC
🇸🇦	U+1F1F8 U+1F1E6
🇸🇧	U+1F1F8 U+1F1E7
🇸🇨	U+1F1F8 U+1F1E8
🇸🇩	U+1F1F8 U+1F1E9
🇸🇪	U+1F1F8 U+1F1EA
🇸🇬	U+1F1F8 U+1F1EC
🇸🇭	U+1F1F8 U+1F1ED
🇸🇮	U+1F1F8 U+1F1EE
🇸🇯	U+1F1F8 U+1F1EF
🇸🇰	U+1F1F8 U+1F1F0
🇸🇱	U+1F1F8 U+1F1F1
🇸🇲	U+1F1F8 U+1F1F2
🇸🇳	U+1F1F8 U+1F1F3
🇸🇴	U+1F1F8 U+1F1F4
🇸🇷	U+1F1F8 U+1F1F7
🇸🇸	U+1F1F8 U+1F1F8
🇸🇹	U+1F1F8 U+1F1F9
🇸🇻	U+1F1F8 U+1F1FB
🇸🇽	U+1F1F8 U+1F1FD
🇸🇾	U+1F1F8 U+1F1FE
🇸🇿	U+1F1F8 U+1F1FF
🇹🇦	U+1F1F9 U+1F1E6
🇹🇨	U+1F1F9 U+1F1E8
🇹🇩	U+1F1F9 U+1F1E9
🇹🇫	U+1F1F9 U+1F1EB
🇹🇬	U+1F1F9 U+1F1EC
🇹🇭	U+1F1F9 U+1F1ED
🇹🇯	U+1F1F9 U+1F1EF
🇹🇰	U+1F1F9 U+1F1F0
🇹🇱	U+1F1F9 U+1F1F1
🇹🇲	U+1F1F9 U+1F1F2
🇹🇳	U+1F1F9 U+1F1F3
🇹🇴	U+1F1F9 U+1F1F4
🇹🇷	U+1F1F9 U+1F1F7
🇹🇹	U+1F1F9 U+1F1F9
🇹🇻	U+1F1F9 U+1F1FB
🇹🇼	U+1F1F9 U+1F1FC
🇹🇿	U+1F1F9 U+1F1FF
🇺🇦	U+1F1FA U+1F1E6
🇺🇬	U+1F1FA U+1F1EC
🇺🇲	U+1F1FA U+1F1F2
🇺🇳	U+1F1FA U+1F1F3
🇺🇸	U+1F1FA U+1F1F8
🇺🇾	U+1F1FA U+1F1FE
🇺🇿	U+1F1FA U+1F1FF
🇻🇦	U+1F1FB U+1F1E6
🇻🇨	U+1F1FB U+1F1E8
🇻🇪	U+1F1FB U+1F1EA
🇻🇬	U+1F1FB U+1F1EC
🇻🇮	U+1F1FB U+1F1EE
🇻🇳	U+1F1FB U+1F1F3
🇻🇺	U+1F1FB U+1F1FA
🇼🇫	U+1F1FC U+1F1EB
🇼🇸	U+1F1FC U+1F1F8
🇽🇰	U+1F1FD U+1F1F0
🇾🇪	U+1F1FE U+1F1EA
🇾🇹	U+1F1FE U+1F1F9
🇿🇦	U+1F1FF U+1F1E6
🇿🇲	U+1F1FF U+1F1F2
🇿🇼	U+1F1FF U+1F1FC
🎅🏻	U+1F385 U+1F3FB
🎅🏼	U+1F385 U+1F3FC
🎅🏽	U+1F385 U+1F3FD
🎅🏾	U+1F385 U+1F3FE
🎅🏿	U+1F385 U+1F3FF
🏂🏻	U+1F3C2 U+1F3FB
🏂🏼	U+1F3C2 U+1F3FC
🏂🏽	U+1F3C2 U+1F3FD
🏂🏾	U+1F3C2 U+1F3FE
🏂🏿	U+1F3C2 U+1F3FF
🏃‍♀️	U+1F3C3 U+200D U+2640 U+FE0F
🏃‍♂️	U+1F3C3 U+200D U+2642 U+FE0F
🏃🏻	U+1F3C3 U+1F3FB
🏃🏻‍♀️	U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F
🏃🏻‍♂️	U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F
🏃🏼	U+1F3C3 U+1F3FC
🏃🏼‍♀️	U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F
🏃🏼‍♂️	U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F
🏃🏽	U+1F3C3 U+1F3FD
🏃🏽‍♀️	U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F
🏃🏽‍♂️	U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F
🏃🏾	U+1F3C3 U+1F3FE
🏃🏾‍♀️	U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F
🏃🏾‍♂️	U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F
🏃🏿	U+1F3C3 U+1F3FF
🏃🏿‍♀️	U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F
🏃🏿‍♂️	U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F
🏄‍♀️	U+1F3C4 U+200D U+2640 U+FE0F
🏄‍♂️	U+1F3C4 U+200D U+2642 U+FE0F
🏄🏻	U+1F3C4 U+1F3FB
🏄🏻‍♀️	U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F
🏄🏻‍♂️	U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F
🏄🏼	U+1F3C4 U+1F3FC
🏄🏼‍♀️	U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F
🏄🏼‍♂️	U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F
🏄🏽	U+1F3C4 U+1F3FD
🏄🏽‍♀️	U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F
🏄🏽‍♂️	U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F
🏄🏾	U+1F3C4 U+1F3FE
🏄🏾‍♀️	U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F
🏄🏾‍♂️	U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F
🏄🏿	U+1F3C4 U+1F3FF
🏄🏿‍♀️	U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F
🏄🏿‍♂️	U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F
🏇🏻	U+1F3C7 U+1F3FB
🏇🏼	U+1F3C7 U+1F3FC
🏇🏽	U+1F3C7 U+1F3FD
🏇🏾	U+1F3C7 U+1F3FE
🏇🏿	U+1F3C7 U+1F3FF
🏊‍♀️	U+1F3CA U+200D U+2640 U+FE0F
🏊‍♂️	U+1F3CA U+200D U+2642 U+FE0F
🏊🏻	U+1F3CA U+1F3FB
🏊🏻‍♀️	U+1F3CA U+1F3FB U+200D U+2640 U+FE0F
🏊🏻‍♂️	U+1F3CA U+1F3FB U+200D U+2642 U+FE0F
🏊🏼	U+1F3CA U+1F3FC
🏊🏼‍♀️	U+1F3CA U+1F3FC U+200D U+2640 U+FE0F
🏊🏼‍♂️	U+1F3CA U+1F3FC U+200D U+2642 U+FE0F
🏊🏽	U+1F3CA U+1F3FD
🏊🏽‍♀️	U+1F3CA U+1F3FD U+200D U+2640 U+FE0F
🏊🏽‍♂️	U+1F3CA U+1F3FD U+200D U+2642 U+FE0F
🏊🏾	U+1F3CA U+1F3FE
🏊🏾‍♀️	U+1F3CA U+1F3FE U+200D U+2640 U+FE0F
🏊🏾‍♂️	U+1F3CA U+1F3FE U+200D U+2642 U+FE0F
🏊🏿	U+1F3CA U+1F3FF
🏊🏿‍♀️	U+1F3CA U+1F3FF U+200D U+2640 U+FE0F
🏊🏿‍♂️	U+1F3CA U+1F3FF U+200D U+2642 U+FE0F
🏋️‍♀️	U+1F3CB U+FE0F U+200D U+2640 U+FE0F
🏋️‍♂️	U+1F3CB U+FE0F U+200D U+2642 U+FE0F
🏋🏻	U+1F3CB U+1F3FB
🏋🏻‍♀️	U+1F3CB U+1F3FB U+200D U+2640 U+FE0F
🏋🏻‍♂️	U+1F3CB U+1F3FB U+200D U+2642 U+FE0F
🏋🏼	U+1F3CB U+1F3FC
🏋🏼‍♀️	U+1F3CB U+1F3FC U+200D U+2640 U+FE0F
🏋🏼‍♂️	U+1F3CB U+1F3FC U+200D U+2642 U+FE0F
🏋🏽	U+1F3CB U+1F3FD
🏋🏽‍♀️	U+1F3CB U+1F3FD U+200D U+2640 U+FE0F
🏋🏽‍♂️	U+1F3CB U+1F3FD U+200D U+2642 U+FE0F
🏋🏾	U+1F3CB U+1F3FE
🏋🏾‍♀️	U+1F3CB U+1F3FE U+200D U+2640 U+FE0F
🏋🏾‍♂️	U+1F3CB U+1F3FE U+200D U+2642 U+FE0F
🏋🏿	U+1F3CB U+1F3FF
🏋🏿‍♀️	U+1F3CB U+1F3FF U+200D U+2640 U+FE0F
🏋🏿‍♂️	U+1F3CB U+1F3FF U+200D U+2642 U+FE0F
🏌️‍♀️	U+1F3CC U+FE0F U+200D U+2640 U+FE0F
🏌️‍♂️	U+1F3CC U+FE0F U+200D U+2642 U+FE0F
🏌🏻	U+1F3CC U+1F3FB
🏌🏻‍♀️	U+1F3CC U+1F3FB U+200D U+2640 U+FE0F
🏌🏻‍♂️	U+1F3CC U+1F3FB U+200D U+2642 U+FE0F
🏌🏼	U+1F3CC U+1F3FC
🏌🏼‍♀️	U+1F3CC U+1F3FC U+200D U+2640 U+FE0F
🏌🏼‍♂️	U+1F3CC U+1F3FC U+200D U+2642 U+FE0F
🏌🏽	U+1F3CC U+1F3FD
🏌🏽‍♀️	U+1F3CC U+1F3FD U+200D U+2640 U+FE0F
🏌🏽‍♂️	U+1F3CC U+1F3FD U+200D U+2642 U+FE0F
🏌🏾	U+1F3CC U+1F3FE
🏌🏾‍♀️	U+1F3CC U+1F3FE U+200D U+2640 U+FE0F
🏌🏾‍♂️	U+1F3CC U+1F3FE U+200D U+2642 U+FE0F
🏌🏿	U+1F3CC U+1F3FF
🏌🏿‍♀️	U+1F3CC U+1F3FF U+200D U+2640 U+FE0F
🏌🏿‍♂️	U+1F3CC U+1F3FF U+200D U+2642 U+FE0F
🏳️‍⚧️	U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F
🏳️‍🌈	U+1F3F3 U+FE0F U+200D U+1F308
🏴‍☠️	U+1F3F4 U+200D U+2620 U+FE0F
🏴󠁧󠁢󠁥󠁮󠁧󠁿	U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F
🏴󠁧󠁢󠁳󠁣󠁴󠁿	U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F
🏴󠁧󠁢󠁷󠁬󠁳󠁿	U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F
🐈‍⬛	U+1F408 U+200D U+2B1B
🐕‍🦺	U+1F415 U+200D U+1F9BA
🐻‍❄️	U+1F43B U+200D U+2744 U+FE0F
👁️‍🗨️	U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F
👂🏻	U+1F442 U+1F3FB
👂🏼	U+1F442 U+1F3FC
👂🏽	U+1F442 U+1F3FD
👂🏾	U+1F442 U+1F3FE
👂🏿	U+1F442 U+1F3FF
👃🏻	U+1F443 U+1F3FB
👃🏼	U+1F443 U+1F3FC
👃🏽	U+1F443 U+1F3FD
👃🏾	U+1F443 U+1F3FE
👃🏿	U+1F443 U+1F3FF
👆🏻	U+1F446 U+1F3FB
👆🏼	U+1F446 U+1F3FC
👆🏽	U+1F446 U+1F3FD
👆🏾	U+1F446 U+1F3FE
👆🏿	U+1F446 U+1F3FF
👇🏻	U+1F447 U+1F3FB
👇🏼	U+1F447 U+1F3FC
👇🏽	U+1F447 U+1F3FD
👇🏾	U+1F447 U+1F3FE
👇🏿	U+1F447 U+1F3FF
👈🏻	U+1F448 U+1F3FB
👈🏼	U+1F448 U+1F3FC
👈🏽	U+1F448 U+1F3FD
👈🏾	U+1F448 U+1F3FE
👈🏿	U+1F448 U+1F3FF
👉🏻	U+1F449 U+1F3FB
👉🏼	U+1F449 U+1F3FC
👉🏽	U+1F449 U+1F3FD
👉🏾	U+1F449 U+1F3FE
👉🏿	U+1F449 U+1F3FF
👊🏻	U+1F44A U+1F3FB
👊🏼	U+1F44A U+1F3FC
👊🏽	U+1F44A U+1F3FD
👊🏾	U+1F44A U+1F3FE
👊🏿	U+1F44A U+1F3FF
👋🏻	U+1F44B U+1F3FB
👋🏼	U+1F44B U+1F3FC
👋🏽	U+1F44B U+1F3FD
👋🏾	U+1F44B U+1F3FE
👋🏿	U+1F44B U+1F3FF
👌🏻	U+1F44C U+1F3FB
👌🏼	U+1F44C U+1F3FC
👌🏽	U+1F44C U+1F3FD
👌🏾	U+1F44C U+1F3FE
👌🏿	U+1F44C U+1F3FF
👍🏻	U+1F44D U+1F3FB
👍🏼	U+1F44D U+1F3FC
👍🏽	U+1F44D U+1F3FD
👍🏾	U+1F44D U+1F3FE
👍🏿	U+1F44D U+1F3FF
👎🏻	U+1F44E U+1F3FB
👎🏼	U+1F44E U+1F3FC
👎🏽	U+1F44E U+1F3FD
👎🏾	U+1F44E U+1F3FE
👎🏿	U+1F44E U+1F3FF
👏🏻	U+1F44F U+1F3FB
👏🏼	U+1F44F U+1F3FC
👏🏽	U+1F44F U+1F3FD
👏🏾	U+1F44F U+1F3FE
👏🏿	U+1F44F U+1F3FF
👐🏻	U+1F450 U+1F3FB
👐🏼	U+1F450 U+1F3FC
👐🏽	U+1F450 U+1F3FD
👐🏾	U+1F450 U+1F3FE
👐🏿	U+1F450 U+1F3FF
👦🏻	U+1F466 U+1F3FB
👦🏼	U+1F466 U+1F3FC
👦🏽	U+1F466 U+1F3FD
👦🏾	U+1F466 U+1F3FE
👦🏿	U+1F466 U+1F3FF
👧🏻	U+1F467 U+1F3FB
👧🏼	U+1F467 U+1F3FC
👧🏽	U+1F467 U+1F3FD
👧🏾	U+1F467 U+1F3FE
👧🏿	U+1F467 U+1F3FF
👨‍⚕️	U+1F468 U+200D U+2695 U+FE0F
👨‍⚖️	U+1F468 U+200D U+2696 U+FE0F
👨‍✈️	U+1F468 U+200D U+2708 U+FE0F
👨‍❤️‍👨	U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468
👨‍❤️‍💋‍👨	U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468
👨‍🌾	U+1F468 U+200D U+1F33E
👨‍🍳	U+1F468 U+200D U+1F373
👨‍🍼	U+1F468 U+200D U+1F37C
👨‍🎄	U+1F468 U+200D U+1F384
👨‍🎓	U+1F468 U+200D U+1F393
👨‍🎤	U+1F468 U+200D U+1F3A4
👨‍🎨	U+1F468 U+200D U+1F3A8
👨‍🏫	U+1F468 U+200D U+1F3EB
👨‍🏭	U+1F468 U+200D U+1F3ED
👨‍👦	U+1F468 U+200D U+1F466
👨‍👦‍👦	U+1F468 U+200D U+1F466 U+200D U+1F466
👨‍👧	U+1F468 U+200D U+1F467
👨‍👧‍👦	U+1F468 U+200D U+1F467 U+200D U+1F466
👨‍👧‍👧	U+1F468 U+200D U+1F467 U+200D U+1F467
👨‍👨‍👦	U+1F468 U+200D U+1F468 U+200D U+1F466
👨‍👨‍👦‍👦	U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466
👨‍👨‍👧	U+1F468 U+200D U+1F468 U+200D U+1F467
👨‍👨‍👧‍👦	U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466
👨‍👨‍👧‍👧	U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467
👨‍👩‍👦	U+1F468 U+200D U+1F469 U+200D U+1F466
👨‍👩‍👦‍👦	U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466
👨‍👩‍👧	U+1F468 U+200D U+1F469 U+200D U+1F467
👨‍👩‍👧‍👦	U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466
👨‍👩‍👧‍👧	U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467
👨‍💻	U+1F468 U+200D U+1F4BB
👨‍💼	U+1F468 U+200D U+1F4BC
👨‍🔧	U+1F468 U+200D U+1F527
👨‍🔬	U+1F468 U+200D U+1F52C
👨‍🚀	U+1F468 U+200D U+1F680
👨‍🚒	U+1F468 U+200D U+1F692
👨‍🦯	U+1F468 U+200D U+1F9AF
👨‍🦰	U+1F468 U+200D U+1F9B0
